Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Type,City,State,Category,Sub_Category,Brand,Product_Name,Quantity,Unit_Price,Discount_Pct,Discount_Amount,Revenue,COGS,Profit,Payment_Method,Order_Status,Delivery_Days,Customer_Rating,Review_Count,Is_Weekend_Order
EC-000021,2024-08-16,CUST0222,Priya Patel,Returning,Chennai,Tamil Nadu,Electronics,Smartphone,Xiaomi,Xiaomi Smartphone - 488,1,4783.9,5,239.19,4544.71,2511.28,2033.43,Credit Card,Returned,4,3.0,484,0
EC-000022,2024-12-24,CUST0013,Riya Bose,Returning,Ahmedabad,Gujarat,Books,Textbook,Rupa,Rupa Textbook - 294,5,8143.63,10,4071.82,36646.33,16890.97,19755.36,UPI,Pending,9,3.0,159,0
EC-000023,2021-12-11,CUST0062,Riya Bose,Returning,Chandigarh,Punjab,Fashion,T-Shirt,Adidas,Adidas T-Shirt - 158,3,10452.3,20,6271.38,25085.52,16660.31,8425.21,Cash on Delivery,Delivered,1,3.5,440,0
EC-000024,2021-11-28,CUST0044,Sneha Reddy,Returning,Delhi,Delhi,Electronics,Speaker,Apple,Apple Speaker - 692,5,13084.76,20,13084.76,52339.04,33554.64,18784.4,Cash on Delivery,Returned,4,3.0,339,1
EC-000025,2023-05-07,CUST0190,Rohan Gupta,VIP,Kolkata,West Bengal,Electronics,Smartwatch,Samsung,Samsung Smartwatch - 234,3,4932.74,25,3699.55,11098.67,4845.97,6252.7,Wallet,Delivered,6,2.4,224,1
EC-000026,2021-01-15,CUST0116,Sneha Reddy,New,Pune,Maharashtra,Beauty,Lipstick,Biotique,Biotique Lipstick - 650,1,3496.23,30,1048.87,2447.36,1292.53,1154.83,Debit Card,Cancelled,10,3.0,460,0
EC-000027,2022-06-10,CUST0137,Divya Shah,New,Pune,Maharashtra,Sports,Cricket Bat,Nike,Nike Cricket Bat - 783,1,4641.24,0,0.0,4641.24,2085.76,2555.48,Cash on Delivery,Returned,3,3.0,317,0
EC-000028,2021-02-24,CUST0160,Rohan Gupta,Premium,Bangalore,Karnataka,Home & Kitchen,Pillow,Prestige,Prestige Pillow - 719,5,10417.3,10,5208.65,46877.85,22539.98,24337.87,Debit Card,Delivered,9,2.0,95,0
EC-000030,2023-03-24,CUST0081,Kavya Pillai,New,Bangalore,Karnataka,Electronics,Smartphone,OnePlus,OnePlus Smartphone - 214,2,10712.83,25,5356.41,16069.25,7141.59,8927.66,Credit Card,Cancelled,8,3.0,186,0
EC-000032,2021-06-25,CUST0172,Vikram Singh,Returning,Surat,Gujarat,Electronics,Tablet,Apple,Apple Tablet - 985,1,3669.47,5,183.47,3486.0,1545.93,1940.07,Debit Card,Returned,9,3.0,217,0
EC-000033,2023-07-26,CUST0294,Ananya Iyer,New,Bangalore,Karnataka,Fashion,Kurta,Zara,Zara Kurta - 491,4,1304.71,25,1304.71,3914.13,1999.71,1914.42,Credit Card,Delivered,4,2.0,279,0
EC-000034,2023-04-08,CUST0240,Karan Mehta,VIP,Ahmedabad,Gujarat,Books,Self Help,Harper,Harper Self Help - 436,5,9521.36,10,4760.68,42846.12,25281.74,17564.38,UPI,Pending,1,3.0,143,0
EC-000035,2024-11-27,CUST0259,Arjun Sharma,New,Pune,Maharashtra,Electronics,Speaker,OnePlus,OnePlus Speaker - 998,1,2345.69,25,586.42,1759.27,971.93,787.34,UPI,Delivered,9,3.8,147,1
EC-000037,2022-06-14,CUST0039,Aditya Rao,Premium,Kolkata,West Bengal,Home & Kitchen,Mixer,Hawkins,Hawkins Mixer - 779,4,14113.8,0,0.0,56455.2,29315.58,27139.62,Credit Card,Pending,2,3.0,337,1
EC-000038,2024-06-13,CUST0151,Vikram Singh,Returning,Hyderabad,Telangana,Beauty,Lipstick,Mamaearth,Mamaearth Lipstick - 530,1,10167.78,25,2541.95,7625.83,4732.32,2893.51,Wallet,Cancelled,5,3.0,414,1
EC-000039,2023-07-18,CUST0060,Divya Shah,Returning,Bangalore,Karnataka,Books,Cookbook,Bloomsbury,Bloomsbury Cookbook - 540,2,3943.33,20,1577.33,6309.33,3772.95,2536.38,Cash on Delivery,Delivered,1,4.3,368,0
EC-000040,2024-11-07,CUST0037,Ananya Iyer,New,Ahmedabad,Gujarat,Sports,Badminton Kit,Adidas,Adidas Badminton Kit - 390,2,14944.18,15,4483.25,25405.11,17520.02,7885.09,Cash on Delivery,Returned,9,3.0,159,1
EC-000041,2022-11-10,CUST0208,Vikram Singh,New,Pune,Maharashtra,Beauty,Hair Oil,Mamaearth,Mamaearth Hair Oil - 147,3,2911.74,0,0.0,8735.22,4224.89,4510.33,Debit Card,Delivered,4,3.8,130,0
EC-000042,2024-11-19,CUST0116,Suresh Joshi,VIP,Delhi,Delhi,Books,Biography,Rupa,Rupa Biography - 509,4,13317.59,15,7990.55,45279.81,28705.71,16574.1,Debit Card,Pending,4,3.0,74,0
EC-000043,2021-07-08,CUST0254,Amit Tiwari,New,Mumbai,Maharashtra,Fashion,Sneakers,Puma,Puma Sneakers - 670,1,2508.27,30,752.48,1755.79,1175.62,580.17,Debit Card,Pending,3,3.0,226,0
EC-000044,2023-08-20,CUST0194,Amit Tiwari,Returning,Ahmedabad,Gujarat,Electronics,Earbuds,Apple,Apple Earbuds - 861,1,9986.18,25,2496.55,7489.63,3007.22,4482.41,Net Banking,Returned,9,3.0,309,1
EC-000045,2023-09-16,CUST0289,Amit Tiwari,New,Chennai,Tamil Nadu,Books,Textbook,Rupa,Rupa Textbook - 830,3,9814.22,30,8832.8,20609.86,9630.59,10979.27,UPI,Delivered,4,3.8,397,0
EC-000046,2021-03-05,CUST0135,Vikram Singh,Returning,Pune,Maharashtra,Fashion,Saree,Levis,Levis Saree - 165,5,2764.46,20,2764.46,11057.84,5638.84,5419.0,Net Banking,Returned,4,3.0,194,0
EC-000047,2021-04-27,CUST0022,Arjun Sharma,VIP,Ahmedabad,Gujarat,Books,Textbook,Random House,Random House Textbook - 588,1,4690.11,15,703.52,3986.59,2243.5,1743.09,Credit Card,Returned,7,3.0,237,1
EC-000048,2024-09-24,CUST0027,Unknown,VIP,Kolkata,West Bengal,Home & Kitchen,Bedsheet,Milton,Milton Bedsheet - 324,5,7352.46,30,11028.69,25733.61,17288.6,8445.01,UPI,Cancelled,9,3.0,225,0
EC-000049,2024-12-06,CUST0147,Arjun Sharma,VIP,Kolkata,West Bengal,Books,Comics,Penguin,Penguin Comics - 706,5,7589.29,10,3794.64,34151.81,19571.42,14580.39,Cash on Delivery,Delivered,8,3.0,3,1
EC-000050,2022-08-06,CUST0158,Suresh Joshi,Premium,Surat,Gujarat,Beauty,Face Cream,Lakme,Lakme Face Cream - 316,3,11551.45,15,5198.15,29456.2,12167.8,17288.4,Net Banking,Delivered,1,5.0,476,1
EC-000051,2024-05-27,CUST0037,Arjun Sharma,New,Kolkata,West Bengal,Home & Kitchen,Bedsheet,Milton,Milton Bedsheet - 458,5,13264.06,10,6632.03,59688.27,37264.32,22423.95,Debit Card,Returned,2,3.0,279,1
EC-000052,2021-04-07,CUST0099,Vikram Singh,Returning,Surat,Gujarat,Beauty,Face Cream,Ponds,Ponds Face Cream - 229,5,6479.94,0,0.0,32399.7,22355.68,10044.02,Net Banking,Cancelled,1,3.0,187,1
EC-000053,2023-06-06,CUST0161,Sneha Reddy,Returning,Chennai,Tamil Nadu,Beauty,Face Cream,Mamaearth,Mamaearth Face Cream - 418,1,1222.66,15,183.4,1039.26,511.01,528.25,Credit Card,Cancelled,10,3.0,255,1
EC-000054,2024-07-23,CUST0058,Pooja Nair,New,Lucknow,UP,Sports,Yoga Mat,Adidas,Adidas Yoga Mat - 813,3,2625.44,25,1969.08,5907.24,3349.64,2557.6,UPI,Delivered,4,4.7,322,0
EC-000055,2021-06-18,CUST0127,Neha Mishra,New,Delhi,Delhi,Beauty,Sunscreen,Ponds,Ponds Sunscreen - 618,2,9263.61,30,5558.17,12969.05,9039.64,3929.41,Wallet,Pending,7,3.0,154,0
EC-000056,2024-02-14,CUST0299,Amit Tiwari,Returning,Kolkata,West Bengal,Home & Kitchen,Mixer,Milton,Milton Mixer - 545,2,13172.86,30,7903.72,18442.0,11475.18,6966.82,Debit Card,Pending,6,3.0,245,1
EC-000057,2024-08-14,CUST0013,Aditya Rao,Returning,Hyderabad,Telangana,Beauty,Sunscreen,Dove,Dove Sunscreen - 950,5,4518.0,20,4518.0,18072.0,9504.68,8567.32,Credit Card,Delivered,10,2.0,315,1
EC-000058,2024-06-01,CUST0264,Ananya Iyer,VIP,Ahmedabad,Gujarat,Home & Kitchen,Curtains,Philips,Philips Curtains - 317,2,177.25,20,70.9,283.6,166.86,116.74,UPI,Delivered,8,1.8,493,0
EC-000059,2023-09-01,CUST0288,Rahul Kumar,Returning,Lucknow,UP,Home & Kitchen,Bedsheet,Bajaj,Bajaj Bedsheet - 837,4,13310.6,25,13310.6,39931.8,16303.56,23628.24,Net Banking,Delivered,9,3.3,214,0
EC-000060,2024-11-23,CUST0125,Arjun Sharma,New,Chennai,Tamil Nadu,Books,Biography,Rupa,Rupa Biography - 401,3,7037.41,25,5278.06,15834.17,8911.37,6922.8,Debit Card,Delivered,8,3.0,149,0
EC-000061,2023-08-18,CUST0271,Kavya Pillai,Premium,Unknown,Telangana,Books,Cookbook,Harper,Harper Cookbook - 460,2,12920.03,25,6460.02,19380.04,9206.98,10173.06,Wallet,Delivered,9,1.2,53,0
EC-000063,2023-02-27,CUST0144,Unknown,Premium,Lucknow,UP,Books,Textbook,Bloomsbury,Bloomsbury Textbook - 283,4,12646.14,30,15175.37,35409.19,16228.53,19180.66,UPI,Delivered,4,2.6,268,1
EC-000064,2021-01-18,CUST0145,Vikram Singh,VIP,Bangalore,Karnataka,Electronics,Camera,Boat,Boat Camera - 205,2,7792.88,10,1558.58,14027.18,6969.92,7057.26,Credit Card,Pending,5,3.0,119,0
EC-000065,2023-03-02,CUST0229,Sneha Reddy,New,Ahmedabad,Gujarat,Sports,Cricket Bat,Cosco,Cosco Cricket Bat - 510,3,6640.67,15,2988.3,16933.71,7172.05,9761.66,Net Banking,Returned,5,3.0,473,0
EC-000066,2022-03-26,CUST0129,Rahul Kumar,Returning,Surat,Gujarat,Electronics,Smartwatch,Realme,Realme Smartwatch - 221,5,1305.01,0,0.0,6525.05,3448.45,3076.6,Cash on Delivery,Delivered,10,3.8,57,0
EC-000067,2024-08-15,CUST0126,Kavya Pillai,Premium,Lucknow,UP,Books,Biography,Random House,Random House Biography - 682,2,2430.91,5,243.09,4618.73,2194.23,2424.5,Cash on Delivery,Cancelled,5,3.0,117,0
EC-000068,2022-11-07,CUST0272,Rahul Kumar,Returning,Delhi,Delhi,Electronics,Smartwatch,Realme,Realme Smartwatch - 345,1,9936.94,30,2981.08,6955.86,3366.5,3589.36,Debit Card,Pending,5,3.0,188,1
EC-000069,2024-12-20,CUST0144,Priya Patel,Returning,Mumbai,Maharashtra,Sports,Yoga Mat,Nike,Nike Yoga Mat - 395,5,9214.64,15,6910.98,39162.22,20594.63,18567.59,Wallet,Delivered,8,2.0,434,1
EC-000070,2022-05-26,CUST0220,Karan Mehta,VIP,Ahmedabad,Gujarat,Home & Kitchen,Pillow,Milton,Milton Pillow - 217,5,1890.45,0,0.0,9452.25,4750.36,4701.89,Cash on Delivery,Pending,10,3.0,68,0
EC-000071,2022-02-02,CUST0218,Divya Shah,VIP,Hyderabad,Telangana,Fashion,Sneakers,H&M,H&M Sneakers - 227,1,4740.06,30,1422.02,3318.04,2302.23,1015.81,Net Banking,Delivered,3,1.7,473,0
EC-000072,2024-08-03,CUST0023,Kavya Pillai,Premium,Kolkata,West Bengal,Beauty,Lipstick,Dove,Dove Lipstick - 718,5,7154.73,10,3577.36,32196.29,14551.45,17644.84,UPI,Delivered,10,2.7,249,0
EC-000073,2021-11-27,CUST0180,Priya Patel,Returning,Surat,Gujarat,Electronics,Smartphone,Apple,Apple Smartphone - 581,2,14242.27,30,8545.36,19939.18,13279.58,6659.6,Cash on Delivery,Cancelled,5,3.0,222,1
EC-000074,2024-11-27,CUST0004,Riya Bose,Premium,Bangalore,Karnataka,Beauty,Perfume,Himalaya,Himalaya Perfume - 518,2,9425.31,20,3770.12,15080.5,8308.46,6772.04,UPI,Delivered,8,4.4,15,1
EC-000075,2024-12-16,CUST0152,Suresh Joshi,New,Bangalore,Karnataka,Home & Kitchen,Pillow,Prestige,Prestige Pillow - 565,2,495.02,10,99.0,891.04,513.0,378.04,Credit Card,Pending,5,3.0,395,0
EC-000076,2024-09-27,CUST0179,Amit Tiwari,VIP,Delhi,Delhi,Home & Kitchen,Bedsheet,Bajaj,Bajaj Bedsheet - 155,2,8643.17,30,5185.9,12100.44,5306.65,6793.79,Debit Card,Pending,1,3.0,426,1
EC-000077,2024-01-07,CUST0168,Vikram Singh,Premium,Ahmedabad,Gujarat,Sports,Cricket Bat,Vector X,Vector X Cricket Bat - 548,5,9426.5,25,11783.12,35349.38,22840.23,12509.15,Wallet,Cancelled,5,3.0,329,1
EC-000078,2022-12-06,CUST0095,Arjun Sharma,VIP,Surat,Gujarat,Books,Fiction Novel,Penguin,Penguin Fiction Novel - 195,3,3017.29,20,1810.37,7241.5,3047.28,4194.22,Debit Card,Cancelled,5,3.0,301,1
EC-000079,2022-08-23,CUST0215,Rohan Gupta,VIP,Surat,Gujarat,Electronics,Earbuds,Samsung,Samsung Earbuds - 954,2,680.55,30,408.33,952.77,557.82,394.95,Net Banking,Cancelled,5,3.0,336,0
EC-000080,2024-04-20,CUST0090,Vikram Singh,New,Jaipur,Rajasthan,Books,Self Help,Scholastic,Scholastic Self Help - 382,2,4852.74,5,485.27,9220.21,6025.06,3195.15,Net Banking,Pending,9,3.0,417,1
EC-000081,2021-05-24,CUST0114,Riya Bose,Returning,Hyderabad,Telangana,Home & Kitchen,Cookware,Borosil,Borosil Cookware - 557,3,4299.64,30,3869.68,9029.24,3931.78,5097.46,Cash on Delivery,Cancelled,5,3.0,492,0
EC-000082,2024-08-11,CUST0277,Pooja Nair,VIP,Jaipur,Rajasthan,Books,Textbook,Oxford,Oxford Textbook - 339,3,13174.33,30,11856.9,27666.09,17167.4,10498.69,Net Banking,Pending,4,3.0,248,0
EC-000083,2024-07-22,CUST0192,Priya Patel,Returning,Ahmedabad,Gujarat,Electronics,Tablet,Realme,Realme Tablet - 614,4,2743.85,25,2743.85,8231.55,5146.24,3085.31,Cash on Delivery,Returned,3,3.0,226,0
EC-000084,2024-01-24,CUST0096,Vikram Singh,New,Unknown,Gujarat,Home & Kitchen,Cookware,Prestige,Prestige Cookware - 580,1,11001.55,0,0.0,11001.55,4822.06,6179.49,UPI,Returned,3,3.0,151,0
EC-000085,2021-06-28,CUST0279,Aditya Rao,VIP,Kolkata,West Bengal,Home & Kitchen,Lamp,Hawkins,Hawkins Lamp - 993,5,3655.09,25,4568.86,13706.59,8278.14,5428.45,Cash on Delivery,Returned,9,3.0,216,1
EC-000086,2023-04-24,CUST0062,Sneha Reddy,New,Chennai,Tamil Nadu,Electronics,Smartwatch,Samsung,Samsung Smartwatch - 554,3,1636.55,25,1227.41,3682.24,2469.92,1212.32,Debit Card,Returned,2,3.0,83,0
EC-000087,2021-05-12,CUST0177,Vikram Singh,Returning,Mumbai,Maharashtra,Beauty,Lipstick,Lakme,Lakme Lipstick - 643,1,4868.74,10,486.87,4381.87,2929.97,1451.9,Net Banking,Returned,6,3.0,99,0
EC-000088,2022-02-20,CUST0265,Pooja Nair,VIP,Bangalore,Karnataka,Sports,Badminton Kit,Yonex,Yonex Badminton Kit - 697,4,14382.27,5,2876.45,54652.63,35750.63,18902.0,Debit Card,Cancelled,7,3.0,454,1
EC-000089,2023-11-01,CUST0144,Ananya Iyer,New,Hyderabad,Telangana,Fashion,Kurta,Puma,Puma Kurta - 552,4,14255.92,15,8553.55,48470.13,33210.87,15259.26,UPI,Delivered,8,3.3,372,0
EC-000090,2023-08-28,CUST0053,Suresh Joshi,VIP,Kolkata,West Bengal,Sports,Cricket Bat,Nivia,Nivia Cricket Bat - 209,5,4468.84,25,5586.05,16758.15,8355.6,8402.55,Debit Card,Delivered,5,3.7,150,1
EC-000091,2023-01-27,CUST0223,Arjun Sharma,New,Lucknow,UP,Books,Biography,Oxford,Oxford Biography - 720,1,1790.62,10,179.06,1611.56,1094.7,516.86,Wallet,Delivered,7,4.9,121,1
EC-000092,2023-04-21,CUST0146,Rohan Gupta,Returning,Chennai,Tamil Nadu,Books,Travel Guide,Oxford,Oxford Travel Guide - 743,5,11081.83,20,11081.83,44327.32,24990.62,19336.7,Credit Card,Cancelled,4,3.0,238,1
EC-000093,2024-01-19,CUST0253,Vikram Singh,New,Hyderabad,Telangana,Beauty,Hair Oil,Lakme,Lakme Hair Oil - 402,4,10351.65,30,12421.98,28984.62,18871.57,10113.05,UPI,Pending,6,3.0,229,0
EC-000094,2023-09-17,CUST0194,Rohan Gupta,VIP,Chennai,Tamil Nadu,Beauty,Perfume,LOreal,LOreal Perfume - 925,5,3416.39,5,854.1,16227.85,8422.18,7805.67,UPI,Delivered,5,4.6,4,0
EC-000095,2021-03-25,CUST0145,Suresh Joshi,Premium,Delhi,Delhi,Beauty,Moisturizer,Himalaya,Himalaya Moisturizer - 192,5,1364.08,15,1023.06,5797.34,4034.9,1762.44,Net Banking,Pending,4,3.0,326,0
EC-000096,2023-11-24,CUST0252,Suresh Joshi,Premium,Delhi,Delhi,Electronics,Tablet,Boat,Boat Tablet - 210,1,8919.14,15,1337.87,7581.27,3829.04,3752.23,Wallet,Cancelled,5,3.0,414,0
EC-000097,2023-10-08,CUST0091,Amit Tiwari,Premium,Lucknow,UP,Fashion,Kurta,Zara,Zara Kurta - 764,3,11679.49,20,7007.69,28030.78,15908.06,12122.72,Net Banking,Pending,2,3.0,201,0
EC-000098,,CUST0173,Vikram Singh,VIP,Mumbai,Maharashtra,Electronics,Laptop,Samsung,Samsung Laptop - 564,2,5020.76,10,1004.15,9037.37,4792.84,4244.53,UPI,Cancelled,4,3.0,140,0
EC-000099,2022-07-21,CUST0001,Kavya Pillai,Premium,Jaipur,Rajasthan,Beauty,Hair Oil,Dove,Dove Hair Oil - 133,2,7083.04,15,2124.91,12041.17,5019.86,7021.31,Wallet,Returned,2,3.0,386,1
EC-000100,2023-02-22,CUST0117,Neha Mishra,New,Ahmedabad,Gujarat,Home & Kitchen,Pressure Cooker,Pigeon,Pigeon Pressure Cooker - 507,5,3638.85,5,909.71,17284.54,8989.12,8295.42,UPI,Cancelled,6,3.0,133,0
EC-000101,,CUST0149,Priya Patel,Premium,Ahmedabad,Gujarat,Fashion,T-Shirt,Fabindia,Fabindia T-Shirt - 349,2,281.1,0,0.0,562.2,388.46,173.74,Debit Card,Delivered,10,1.2,79,1
EC-000102,2022-04-11,CUST0227,Arjun Sharma,Premium,Jaipur,Rajasthan,Sports,Dumbbell,Decathlon,Decathlon Dumbbell - 979,5,14895.18,5,3723.8,70752.1,29867.22,40884.88,Debit Card,Cancelled,3,3.0,146,0
EC-000103,2021-03-01,CUST0143,Aditya Rao,New,Bangalore,Karnataka,Fashion,Jacket,Levis,Levis Jacket - 278,4,1223.97,0,0.0,4895.88,2202.48,2693.4,UPI,Delivered,6,1.9,414,0
EC-000104,2021-12-03,CUST0144,Neha Mishra,New,Kolkata,West Bengal,Electronics,Laptop,Realme,Realme Laptop - 562,1,9450.62,20,1890.12,7560.5,4349.51,3210.99,Cash on Delivery,Returned,8,3.0,470,0
EC-000105,2023-08-21,CUST0156,Riya Bose,VIP,Chandigarh,Punjab,Fashion,Jacket,Zara,Zara Jacket - 536,1,13737.29,30,4121.19,9616.1,6612.13,3003.97,Wallet,Delivered,1,1.2,372,1
EC-000106,2021-06-20,CUST0178,Vikram Singh,Premium,Ahmedabad,Gujarat,Electronics,Earbuds,Realme,Realme Earbuds - 739,2,2903.01,0,0.0,5806.02,3130.08,2675.94,Wallet,Delivered,3,2.4,27,1
EC-000107,2023-08-17,CUST0145,Sneha Reddy,New,Pune,Maharashtra,Sports,Cycle,Nivia,Nivia Cycle - 973,4,5469.14,15,3281.48,18595.08,8888.17,9706.91,Wallet,Returned,10,3.0,200,0
EC-000108,2022-07-15,CUST0240,Aditya Rao,VIP,Chandigarh,Punjab,Beauty,Moisturizer,Mamaearth,Mamaearth Moisturizer - 508,1,6226.98,30,1868.09,4358.89,2531.79,1827.1,Net Banking,Returned,4,3.0,412,0
EC-000109,2023-06-05,CUST0256,Rahul Kumar,New,Kolkata,West Bengal,Beauty,Face Cream,Himalaya,Himalaya Face Cream - 195,5,13672.82,10,6836.41,61527.69,39793.72,21733.97,Net Banking,Delivered,8,4.8,196,0
EC-000110,2022-09-02,CUST0242,Aditya Rao,New,Pune,Maharashtra,Electronics,Camera,Realme,Realme Camera - 520,1,6331.82,30,1899.55,4432.27,3013.14,1419.13,UPI,Cancelled,10,3.0,250,0
EC-000111,2023-10-10,CUST0146,Karan Mehta,Returning,Chandigarh,Punjab,Beauty,Moisturizer,Biotique,Biotique Moisturizer - 772,5,2556.03,0,0.0,12780.15,6688.83,6091.32,Net Banking,Delivered,6,4.1,223,0
EC-000112,2023-02-25,CUST0217,Pooja Nair,VIP,Pune,Maharashtra,Fashion,Handbag,Zara,Zara Handbag - 965,1,5713.41,30,1714.02,3999.39,2499.11,1500.28,Cash on Delivery,Cancelled,5,3.0,341,0
EC-000113,2021-10-22,CUST0099,Unknown,Premium,Surat,Gujarat,Sports,Cycle,Nivia,Nivia Cycle - 819,3,12647.57,20,7588.54,30354.17,19775.7,10578.47,UPI,Delivered,5,2.9,384,0
EC-000114,2022-10-22,CUST0133,Vikram Singh,New,Bangalore,Karnataka,Home & Kitchen,Bedsheet,Prestige,Prestige Bedsheet - 193,5,939.99,30,1409.98,3289.97,2169.46,1120.51,Wallet,Delivered,7,4.3,357,0
EC-000115,2023-03-12,CUST0165,Aditya Rao,New,Kolkata,West Bengal,Sports,Dumbbell,Cosco,Cosco Dumbbell - 153,3,8375.93,15,3769.17,21358.62,13470.8,7887.82,Debit Card,Pending,5,3.0,201,0
EC-000116,2021-05-15,CUST0001,Amit Tiwari,VIP,Mumbai,Maharashtra,Fashion,Handbag,Adidas,Adidas Handbag - 379,2,5729.97,25,2864.99,8594.95,4059.61,4535.34,Debit Card,Returned,7,3.0,50,0
EC-000117,2023-11-22,CUST0288,Divya Shah,New,Kolkata,West Bengal,Sports,Yoga Mat,Adidas,Adidas Yoga Mat - 325,5,9132.0,0,0.0,45660.0,21395.95,24264.05,Net Banking,Returned,10,3.0,33,0
EC-000118,2022-03-25,CUST0118,Aditya Rao,New,Chennai,Tamil Nadu,Sports,Yoga Mat,Decathlon,Decathlon Yoga Mat - 107,4,4103.22,10,1641.29,14771.59,6006.95,8764.64,Net Banking,Delivered,5,3.0,258,0
